[04:56:45] 🏗️ 建立自己的完整資料庫
[04:56:45]    探測最新 ID...
[04:56:46]    最新 ID: 37308
[04:56:46]    需要抓: 37308 篇
[07:03:24]    12400/37308 (33.2%) | 已抓 9778 篇 | 錯誤 2622 | 速度 1.6/秒 | 剩 ~254 分鐘
[07:04:25]    12500/37308 (33.5%) | 已抓 9861 篇 | 錯誤 2639 | 速度 1.6/秒 | 剩 ~253 分鐘
[07:05:26]    12600/37308 (33.8%) | 已抓 9929 篇 | 錯誤 2671 | 速度 1.6/秒 | 剩 ~252 分鐘
[07:06:28]    12700/37308 (34.0%) | 已抓 10023 篇 | 錯誤 2677 | 速度 1.6/秒 | 剩 ~251 分鐘
[07:07:29]    12800/37308 (34.3%) | 已抓 10099 篇 | 錯誤 2701 | 速度 1.6/秒 | 剩 ~250 分鐘
[07:08:32]    12900/37308 (34.6%) | 已抓 10179 篇 | 錯誤 2721 | 速度 1.6/秒 | 剩 ~249 分鐘
[07:09:33]    13000/37308 (34.8%) | 已抓 10260 篇 | 錯誤 2740 | 速度 1.6/秒 | 剩 ~248 分鐘
[07:10:37]    13100/37308 (35.1%) | 已抓 10353 篇 | 錯誤 2747 | 速度 1.6/秒 | 剩 ~247 分鐘
[07:11:37]    13200/37308 (35.4%) | 已抓 10432 篇 | 錯誤 2768 | 速度 1.6/秒 | 剩 ~246 分鐘
[07:12:38]    13300/37308 (35.6%) | 已抓 10515 篇 | 錯誤 2785 | 速度 1.6/秒 | 剩 ~245 分鐘
[07:13:39]    13400/37308 (35.9%) | 已抓 10601 篇 | 錯誤 2799 | 速度 1.6/秒 | 剩 ~244 分鐘
[07:14:40]    13500/37308 (36.2%) | 已抓 10692 篇 | 錯誤 2808 | 速度 1.6/秒 | 剩 ~243 分鐘
[07:15:40]    13600/37308 (36.5%) | 已抓 10787 篇 | 錯誤 2813 | 速度 1.6/秒 | 剩 ~242 分鐘
[07:16:43]    13700/37308 (36.7%) | 已抓 10878 篇 | 錯誤 2822 | 速度 1.6/秒 | 剩 ~241 分鐘
[07:17:47]    13800/37308 (37.0%) | 已抓 10966 篇 | 錯誤 2834 | 速度 1.6/秒 | 剩 ~240 分鐘
[07:18:47]    13900/37308 (37.3%) | 已抓 11048 篇 | 錯誤 2852 | 速度 1.6/秒 | 剩 ~239 分鐘
[07:19:48]    14000/37308 (37.5%) | 已抓 11132 篇 | 錯誤 2868 | 速度 1.6/秒 | 剩 ~238 分鐘
[07:20:52]    14100/37308 (37.8%) | 已抓 11224 篇 | 錯誤 2876 | 速度 1.6/秒 | 剩 ~237 分鐘
[07:21:57]    14200/37308 (38.1%) | 已抓 11305 篇 | 錯誤 2895 | 速度 1.6/秒 | 剩 ~236 分鐘
[07:22:58]    14300/37308 (38.3%) | 已抓 11385 篇 | 錯誤 2915 | 速度 1.6/秒 | 剩 ~235 分鐘
[07:23:59]    14400/37308 (38.6%) | 已抓 11468 篇 | 錯誤 2932 | 速度 1.6/秒 | 剩 ~234 分鐘
[07:24:58]    14500/37308 (38.9%) | 已抓 11551 篇 | 錯誤 2949 | 速度 1.6/秒 | 剩 ~233 分鐘
[07:25:58]    14600/37308 (39.1%) | 已抓 11610 篇 | 錯誤 2990 | 速度 1.6/秒 | 剩 ~232 分鐘
[07:26:59]    14700/37308 (39.4%) | 已抓 11681 篇 | 錯誤 3019 | 速度 1.6/秒 | 剩 ~231 分鐘
[07:28:02]    14800/37308 (39.7%) | 已抓 11756 篇 | 錯誤 3044 | 速度 1.6/秒 | 剩 ~230 分鐘
[07:29:02]    14900/37308 (39.9%) | 已抓 11846 篇 | 錯誤 3054 | 速度 1.6/秒 | 剩 ~229 分鐘
[07:30:04]    15000/37308 (40.2%) | 已抓 11924 篇 | 錯誤 3076 | 速度 1.6/秒 | 剩 ~228 分鐘
[07:31:05]    15100/37308 (40.5%) | 已抓 12008 篇 | 錯誤 3092 | 速度 1.6/秒 | 剩 ~227 分鐘
[07:32:06]    15200/37308 (40.7%) | 已抓 12078 篇 | 錯誤 3122 | 速度 1.6/秒 | 剩 ~226 分鐘
[07:33:06]    15300/37308 (41.0%) | 已抓 12158 篇 | 錯誤 3142 | 速度 1.6/秒 | 剩 ~225 分鐘
[07:34:06]    15400/37308 (41.3%) | 已抓 12241 篇 | 錯誤 3159 | 速度 1.6/秒 | 剩 ~224 分鐘
[07:35:07]    15500/37308 (41.5%) | 已抓 12307 篇 | 錯誤 3193 | 速度 1.6/秒 | 剩 ~223 分鐘
[07:36:07]    15600/37308 (41.8%) | 已抓 12360 篇 | 錯誤 3240 | 速度 1.6/秒 | 剩 ~222 分鐘
[07:37:09]    15700/37308 (42.1%) | 已抓 12432 篇 | 錯誤 3268 | 速度 1.6/秒 | 剩 ~221 分鐘
[07:38:09]    15800/37308 (42.4%) | 已抓 12500 篇 | 錯誤 3300 | 速度 1.6/秒 | 剩 ~220 分鐘
[07:39:09]    15900/37308 (42.6%) | 已抓 12571 篇 | 錯誤 3329 | 速度 1.6/秒 | 剩 ~219 分鐘
[07:40:10]    16000/37308 (42.9%) | 已抓 12648 篇 | 錯誤 3352 | 速度 1.6/秒 | 剩 ~218 分鐘
[07:41:10]    16100/37308 (43.2%) | 已抓 12728 篇 | 錯誤 3372 | 速度 1.6/秒 | 剩 ~217 分鐘
[07:42:10]    16200/37308 (43.4%) | 已抓 12796 篇 | 錯誤 3404 | 速度 1.6/秒 | 剩 ~216 分鐘
[07:43:09]    16300/37308 (43.7%) | 已抓 12892 篇 | 錯誤 3408 | 速度 1.6/秒 | 剩 ~214 分鐘
[07:44:07]    16400/37308 (44.0%) | 已抓 12973 篇 | 錯誤 3427 | 速度 1.6/秒 | 剩 ~213 分鐘
[07:45:06]    16500/37308 (44.2%) | 已抓 13037 篇 | 錯誤 3463 | 速度 1.6/秒 | 剩 ~212 分鐘
[07:46:05]    16600/37308 (44.5%) | 已抓 13126 篇 | 錯誤 3474 | 速度 1.6/秒 | 剩 ~211 分鐘
[07:47:04]    16700/37308 (44.8%) | 已抓 13207 篇 | 錯誤 3493 | 速度 1.6/秒 | 剩 ~210 分鐘
[07:48:02]    16800/37308 (45.0%) | 已抓 13301 篇 | 錯誤 3499 | 速度 1.6/秒 | 剩 ~209 分鐘
[07:49:02]    16900/37308 (45.3%) | 已抓 13386 篇 | 錯誤 3514 | 速度 1.6/秒 | 剩 ~208 分鐘
[07:50:00]    17000/37308 (45.6%) | 已抓 13478 篇 | 錯誤 3522 | 速度 1.6/秒 | 剩 ~207 分鐘
[07:51:00]    17100/37308 (45.8%) | 已抓 13568 篇 | 錯誤 3532 | 速度 1.6/秒 | 剩 ~206 分鐘
[07:52:01]    17200/37308 (46.1%) | 已抓 13649 篇 | 錯誤 3551 | 速度 1.6/秒 | 剩 ~205 分鐘
[07:53:03]    17300/37308 (46.4%) | 已抓 13732 篇 | 錯誤 3568 | 速度 1.6/秒 | 剩 ~204 分鐘
[07:54:04]    17400/37308 (46.6%) | 已抓 13810 篇 | 錯誤 3590 | 速度 1.6/秒 | 剩 ~203 分鐘
[07:55:03]    17500/37308 (46.9%) | 已抓 13899 篇 | 錯誤 3601 | 速度 1.6/秒 | 剩 ~202 分鐘
[07:56:03]    17600/37308 (47.2%) | 已抓 13982 篇 | 錯誤 3618 | 速度 1.6/秒 | 剩 ~201 分鐘
[07:57:05]    17700/37308 (47.4%) | 已抓 14073 篇 | 錯誤 3627 | 速度 1.6/秒 | 剩 ~200 分鐘
[07:58:06]    17800/37308 (47.7%) | 已抓 14150 篇 | 錯誤 3650 | 速度 1.6/秒 | 剩 ~199 分鐘
[07:59:07]    17900/37308 (48.0%) | 已抓 14245 篇 | 錯誤 3655 | 速度 1.6/秒 | 剩 ~198 分鐘
[08:00:10]    18000/37308 (48.2%) | 已抓 14331 篇 | 錯誤 3669 | 速度 1.6/秒 | 剩 ~197 分鐘
[08:01:11]    18100/37308 (48.5%) | 已抓 14423 篇 | 錯誤 3677 | 速度 1.6/秒 | 剩 ~196 分鐘
[08:02:12]    18200/37308 (48.8%) | 已抓 14517 篇 | 錯誤 3683 | 速度 1.6/秒 | 剩 ~195 分鐘
[08:03:14]    18300/37308 (49.1%) | 已抓 14608 篇 | 錯誤 3692 | 速度 1.6/秒 | 剩 ~194 分鐘
[08:04:15]    18400/37308 (49.3%) | 已抓 14664 篇 | 錯誤 3736 | 速度 1.6/秒 | 剩 ~193 分鐘
[08:05:16]    18500/37308 (49.6%) | 已抓 14748 篇 | 錯誤 3752 | 速度 1.6/秒 | 剩 ~192 分鐘
[08:06:15]    18600/37308 (49.9%) | 已抓 14836 篇 | 錯誤 3764 | 速度 1.6/秒 | 剩 ~191 分鐘
